"Q90201","q_affirmative","q_applicable"
"Preparatory","100","101"
"Bachelor","112","113"
"Secondary","100","101"
"Elementary","96","97"
"Bachelor","106","107"
"Elementary","95","96"
"Bachelor","108","109"
"Bachelor","134","138"
"Secondary","105","108"
"Secondary","104","104"
"Diploma/associate degree","119","120"
"Bachelor","97","97"
"Preparatory","103","103"
"Secondary","98","99"
"Preparatory","109","109"
"Secondary","106","106"
"Diploma/associate degree","94","95"
"Diploma/associate degree","112","116"
"Bachelor","103","109"
"Bachelor","115","116"
"Diploma/associate degree","82","93"
"Refuse to answer (do not read)","99","116"
"Secondary","97","102"
"Illiterate (cannot read and write)","99","99"
"Secondary","100","101"
"Elementary","96","98"
"Diploma/associate degree","89","94"
"Secondary","103","117"
"Secondary","93","110"
"Bachelor","113","117"
"Bachelor","107","111"
"Bachelor","101","102"
"Bachelor","88","93"
"Bachelor","117","118"
"Secondary","101","101"
"Preparatory","85","91"
"Preparatory","89","92"
"Secondary","102","102"
"Diploma/associate degree","118","119"
"Elementary","107","109"
"Preparatory","96","97"
"Bachelor","114","114"
"Secondary","125","126"
"Secondary","121","121"
"Illiterate (cannot read and write)","101","101"
"Preparatory","103","104"
"Secondary","114","115"
"Higher education","96","96"
"Illiterate (cannot read and write)","89","94"
"Bachelor","108","110"
"Bachelor","110","110"
"Secondary","90","95"
"Preparatory","100","109"
"Bachelor","125","125"
"Preparatory","108","108"
"Secondary","104","104"
"Secondary","92","99"
"Preparatory","93","101"
"Refuse to answer (do not read)","105","107"
"Preparatory","87","96"
"Preparatory","112","112"
"Secondary","89","96"
"Secondary","103","103"
"Secondary","129","129"
"Secondary","113","114"
"Secondary","113","115"
"Secondary","118","119"
"Secondary","79","95"
"Secondary","113","120"
"Preparatory","102","102"
"Elementary","97","102"
"Preparatory","91","96"
"Elementary","111","114"
"Illiterate (cannot read and write)","109","111"
"Elementary","92","93"
"Secondary","91","92"
"Preparatory","95","96"
"Diploma/associate degree","118","119"
"Secondary","82","96"
"Secondary","91","91"
"Preparatory","101","111"
"Secondary","98","98"
"Preparatory","128","130"
"Bachelor","89","95"
"Elementary","98","98"
"Preparatory","103","103"
"Secondary","106","106"
"Preparatory","118","118"
"Preparatory","111","111"
"Diploma/associate degree","94","94"
"Secondary","102","102"
"Elementary","103","103"
"Preparatory","101","102"
"Secondary","102","103"
"Secondary","121","121"
"Bachelor","113","115"
"Secondary","103","103"
"Diploma/associate degree","120","121"
"Diploma/associate degree","120","120"
"Illiterate (cannot read and write)","90","97"
"Diploma/associate degree","110","110"
"Bachelor","120","120"
"Diploma/associate degree","109","109"
"Preparatory","88","95"
"Refuse to answer (do not read)","81","106"
"Secondary","115","115"
"Secondary","95","98"
"Secondary","72","90"
"Diploma/associate degree","96","97"
"Secondary","95","96"
"Higher education","85","95"
"Diploma/associate degree","104","105"
"Diploma/associate degree","110","117"
"Secondary","95","96"
"Secondary","97","99"
"Secondary","108","109"
"Secondary","97","98"
"Secondary","107","107"
"Secondary","100","100"
"Diploma/associate degree","105","109"
"Secondary","105","106"
"Secondary","94","95"
"Secondary","109","109"
"Secondary","106","108"
"Preparatory","100","100"
"Secondary","96","97"
"Refuse to answer (do not read)","91","96"
"Secondary","90","98"
"Elementary","87","96"
"Secondary","98","100"
"Elementary","91","100"
"Secondary","94","94"
"Secondary","112","112"
"Preparatory","82","96"
"Refuse to answer (do not read)","90","94"
"Diploma/associate degree","90","94"
"Secondary","101","101"
"Preparatory","106","109"
"Diploma/associate degree","88","93"
"Secondary","107","114"
"Diploma/associate degree","96","97"
"Secondary","116","117"
"Secondary","101","101"
"Secondary","113","113"
"Secondary","97","97"
"Preparatory","112","114"
"Bachelor","97","100"
"Bachelor","99","99"
"Diploma/associate degree","103","103"
"Secondary","102","102"
"Secondary","107","107"
"Secondary","113","114"
"Secondary","107","109"
"Secondary","93","94"
"Bachelor","101","107"
"Bachelor","104","108"
"Secondary","103","104"
"Secondary","101","102"
"Preparatory","116","116"
"Bachelor","106","110"
"Illiterate (cannot read and write)","91","92"
"Diploma/associate degree","78","97"
"Secondary","131","131"
"Higher education","114","119"
"Elementary","111","111"
"Diploma/associate degree","79","93"
"Bachelor","88","113"
"Preparatory","93","95"
"Diploma/associate degree","94","94"
"Elementary","94","95"
"Secondary","97","97"
"Bachelor","82","96"
"Secondary","105","106"
"Diploma/associate degree","97","107"
"Secondary","111","111"
"Elementary","101","106"
"Secondary","112","113"
"Diploma/associate degree","83","90"
"Secondary","106","107"
"Preparatory","90","98"
"Higher education","85","100"
"Diploma/associate degree","98","101"
"Elementary","119","119"
"Elementary","99","101"
"Secondary","97","101"
"Preparatory","114","116"
"Secondary","90","94"
"Secondary","98","98"
"Bachelor","129","130"
"Bachelor","91","101"
"Illiterate (cannot read and write)","103","103"
"Secondary","93","100"
"Preparatory","80","94"
"Secondary","79","91"
"Diploma/associate degree","105","109"
"Secondary","88","96"
"Preparatory","94","101"
"Diploma/associate degree","86","93"
"Diploma/associate degree","87","91"
"Elementary","82","92"
"Elementary","92","101"
"Illiterate (cannot read and write)","90","93"
"Preparatory","99","99"
"Diploma/associate degree","81","91"
"Secondary","96","98"
"Preparatory","109","110"
"Secondary","93","99"
"Secondary","101","101"
"Diploma/associate degree","86","91"
"Secondary","102","105"
"Secondary","118","118"
"Diploma/associate degree","92","93"
"Preparatory","107","107"
"Preparatory","101","101"
"Preparatory","93","94"
"Secondary","97","98"
"Preparatory","78","92"
"Diploma/associate degree","85","100"
"Bachelor","123","123"
"Bachelor","105","107"
"Secondary","120","125"
"Elementary","90","94"
"Preparatory","107","108"
"Preparatory","111","112"
"Bachelor","114","121"
"Illiterate (cannot read and write)","103","103"
"Secondary","76","86"
"Preparatory","107","108"
"Elementary","94","96"
"Illiterate (cannot read and write)","93","95"
"Elementary","95","96"
"Secondary","102","102"
"Preparatory","90","93"
"Secondary","103","113"
"Secondary","97","100"
"Illiterate (cannot read and write)","89","96"
"Preparatory","96","96"
"Preparatory","99","100"
"Preparatory","90","92"
"Secondary","114","114"
"Illiterate (cannot read and write)","105","108"
"Secondary","98","99"
"Secondary","109","110"
"Illiterate (cannot read and write)","102","102"
"Preparatory","110","110"
"Preparatory","117","117"
"Preparatory","101","101"
"Preparatory","92","94"
"Bachelor","105","106"
"Secondary","100","101"
"Diploma/associate degree","83","98"
"Diploma/associate degree","98","99"
"Secondary","98","98"
"Secondary","97","98"
"Diploma/associate degree","83","97"
"Diploma/associate degree","92","93"
"Bachelor","96","97"
"Preparatory","108","112"
"Secondary","93","98"
"Diploma/associate degree","98","105"
"Secondary","103","105"
"Bachelor","102","103"
"Bachelor","98","98"
"Bachelor","92","94"
"Preparatory","91","95"
"Secondary","114","115"
"Preparatory","86","94"
"Secondary","91","103"
"Bachelor","119","119"
"Secondary","87","90"
"Preparatory","101","101"
"Diploma/associate degree","89","95"
"Preparatory","76","91"
"Preparatory","99","100"
"Preparatory","102","102"
"Secondary","117","118"
"Preparatory","108","122"
"Elementary","94","101"
"Diploma/associate degree","97","97"
"Preparatory","98","102"
"Preparatory","100","100"
"Secondary","108","110"
"Secondary","103","103"
"Secondary","87","102"
"Secondary","109","110"
"Secondary","82","97"
"Secondary","111","111"
"Bachelor","120","120"
"Secondary","91","100"
"Secondary","110","114"
"Preparatory","106","112"
"Preparatory","96","96"
"Illiterate (cannot read and write)","106","107"
"Refuse to answer (do not read)","85","92"
"Preparatory","96","96"
"Bachelor","109","109"
"Preparatory","93","109"
"Secondary","102","102"
"Preparatory","112","112"
"Elementary","73","101"
"Secondary","99","101"
"Secondary","98","99"
"Diploma/associate degree","79","92"
"Preparatory","116","116"
"Preparatory","97","98"
"Preparatory","114","114"
"Secondary","115","118"
"Preparatory","95","97"
"Secondary","106","106"
"Secondary","96","99"
"Elementary","90","93"
"Elementary","117","118"
"Secondary","117","117"
"Secondary","101","119"
"Elementary","102","102"
"Elementary","107","108"
"Bachelor","85","93"
"Secondary","119","120"
"Secondary","101","101"
"Preparatory","105","106"
"Secondary","98","98"
"Preparatory","98","101"
"Secondary","99","99"
"Bachelor","113","113"
"Preparatory","97","97"
"Secondary","114","115"
"Bachelor","108","108"
"Secondary","101","101"
"Preparatory","117","117"
"Preparatory","93","94"
"Bachelor","114","118"
"Elementary","101","101"
"Preparatory","74","95"
"Secondary","102","102"
"Secondary","127","128"
"Elementary","86","96"
"Preparatory","105","107"
"Preparatory","109","111"
"Preparatory","93","94"
"Secondary","93","94"
"Elementary","113","114"
"Preparatory","94","96"
"Secondary","117","117"
"Secondary","106","117"
"Diploma/associate degree","99","99"
"Preparatory","96","96"
"Bachelor","96","97"
"Diploma/associate degree","99","99"
"Preparatory","94","95"
"Diploma/associate degree","117","118"
"Preparatory","100","103"
"Bachelor","94","99"
"Preparatory","101","101"
"Preparatory","96","96"
"Bachelor","114","115"
"Bachelor","115","115"
"Diploma/associate degree","106","108"
"Illiterate (cannot read and write)","97","99"
"Preparatory","98","99"
"Diploma/associate degree","97","97"
"Preparatory","103","103"
"Secondary","102","102"
"Preparatory","84","99"
"Preparatory","103","103"
"Preparatory","102","102"
"Elementary","105","105"
"Preparatory","99","99"
"Preparatory","136","137"
"Elementary","108","109"
"Secondary","92","99"
"Secondary","109","109"
"Secondary","93","99"
"Elementary","86","95"
"Secondary","99","99"
"Diploma/associate degree","90","92"
"Preparatory","100","100"
"Secondary","112","113"
"Preparatory","102","102"
"Bachelor","102","102"
"Secondary","94","97"
"Secondary","102","102"
"Secondary","101","101"
"Preparatory","96","96"
"Bachelor","95","96"
"Secondary","96","97"
"Elementary","116","117"
"Preparatory","101","101"
"Preparatory","101","101"
"Secondary","106","106"
"Secondary","96","99"
"Preparatory","99","99"
"Secondary","100","102"
"Diploma/associate degree","92","94"
"Bachelor","77","93"
"Secondary","103","103"
"Elementary","102","102"
"Elementary","102","102"
"Preparatory","117","122"
"Elementary","100","100"
"Secondary","102","102"
"Refuse to answer (do not read)","105","110"
"Secondary","122","123"
"Secondary","69","90"
"Preparatory","96","102"
"Secondary","98","99"
"Secondary","97","99"
"Bachelor","113","113"
"Illiterate (cannot read and write)","99","100"
"Secondary","104","104"
"Secondary","101","101"
"Preparatory","102","102"
"Secondary","141","142"
"Preparatory","98","99"
"Elementary","92","94"
"Preparatory","125","125"
"Bachelor","115","115"
"Preparatory","98","100"
"Diploma/associate degree","102","110"
"Secondary","98","99"
"Secondary","105","106"
"Elementary","97","98"
"Diploma/associate degree","97","97"
"Elementary","96","96"
"Bachelor","135","135"
"Preparatory","126","128"
"Secondary","108","110"
"Preparatory","93","93"
"Preparatory","55","91"
"Preparatory","112","112"
"Secondary","110","110"
"Illiterate (cannot read and write)","72","97"
"Elementary","85","96"
"Illiterate (cannot read and write)","79","94"
"Elementary","98","100"
"Diploma/associate degree","105","107"
"Preparatory","99","116"
"Secondary","97","97"
"Preparatory","124","124"
"Illiterate (cannot read and write)","116","116"
"Diploma/associate degree","89","91"
"Elementary","94","94"
"Diploma/associate degree","99","99"
"Preparatory","91","95"
"Preparatory","98","98"
"Secondary","112","112"
"Secondary","94","94"
"Secondary","76","93"
"Secondary","102","103"
"Bachelor","118","118"
"Preparatory","96","98"
"Preparatory","100","101"
"Secondary","79","91"
"Preparatory","101","105"
"Secondary","84","94"
"Secondary","98","99"
"Secondary","90","96"
"Bachelor","79","97"
"Preparatory","70","89"
"Secondary","102","102"
"Illiterate (cannot read and write)","92","92"
"Elementary","109","115"
"Secondary","103","105"
"Secondary","95","101"
"Diploma/associate degree","111","111"
"Elementary","111","111"
"Preparatory","94","96"
"Diploma/associate degree","129","131"
"Secondary","91","93"
"Secondary","133","133"
"Higher education","117","118"
"Higher education","119","121"
"Secondary","89","97"
"Secondary","101","102"
"Preparatory","95","100"
"Secondary","91","97"
"Secondary","100","101"
"Bachelor","105","128"
"Preparatory","98","98"
"Bachelor","108","112"
"Secondary","119","120"
"Preparatory","127","129"
"Secondary","108","111"
"Illiterate (cannot read and write)","108","111"
"Secondary","99","100"
"Secondary","94","95"
"Illiterate (cannot read and write)","93","95"
"Secondary","102","103"
"Bachelor","120","121"
"Secondary","120","120"
"Diploma/associate degree","92","93"
"Secondary","99","100"
"Secondary","109","118"
"Secondary","108","113"
"Diploma/associate degree","107","108"
"Secondary","90","98"
"Preparatory","72","102"
"Bachelor","95","96"
"Secondary","95","99"
"Elementary","100","103"
"Bachelor","119","119"
"Secondary","107","108"
"Secondary","124","125"
"Bachelor","109","110"
"Bachelor","128","129"
"Bachelor","103","104"
"Bachelor","110","111"
"Elementary","107","109"
"Bachelor","116","117"
"Bachelor","126","127"
"Preparatory","98","102"
"Secondary","94","95"
"Diploma/associate degree","120","120"
"Diploma/associate degree","100","100"
"Preparatory","128","128"
"Secondary","97","97"
"Preparatory","94","97"
"Preparatory","97","97"
"Preparatory","111","113"
"Secondary","98","98"
"Secondary","107","109"
"Preparatory","90","93"
"Bachelor","101","102"
"Bachelor","102","102"
"Secondary","102","102"
"Diploma/associate degree","111","112"
"Elementary","97","97"
"Preparatory","102","103"
"Secondary","97","98"
"Illiterate (cannot read and write)","110","110"
"Secondary","101","101"
"Preparatory","96","98"
"Preparatory","87","91"
"Preparatory","117","118"
"Bachelor","108","111"
"Secondary","105","127"
"Secondary","109","110"
"Preparatory","91","91"
"Secondary","132","133"
"Preparatory","111","112"
"Preparatory","89","90"
"Diploma/associate degree","104","112"
"Bachelor","124","125"
"Secondary","106","107"
"Secondary","107","108"
"Elementary","118","119"
"Secondary","112","112"
"Diploma/associate degree","97","97"
"Preparatory","95","96"
"Bachelor","105","109"
"Illiterate (cannot read and write)","95","96"
"Bachelor","123","124"
"Secondary","111","111"
"Illiterate (cannot read and write)","91","101"
"Elementary","89","95"
"Secondary","92","98"
"Secondary","109","110"
"Secondary","116","119"
"Secondary","103","103"
"Preparatory","91","93"
"Preparatory","96","97"
"Bachelor","104","104"
"Secondary","95","97"
"Diploma/associate degree","74","93"
"Preparatory","96","97"
"Bachelor","94","95"
"Bachelor","95","112"
"Diploma/associate degree","70","91"
"Bachelor","77","104"
"Diploma/associate degree","99","108"
"Secondary","85","97"
"Diploma/associate degree","113","113"
"Illiterate (cannot read and write)","102","102"
"Secondary","95","100"
"Secondary","107","112"
"Secondary","74","91"
"Preparatory","97","97"
"Bachelor","108","109"
"Preparatory","94","98"
"Illiterate (cannot read and write)","97","97"
"Higher education","123","123"
"Preparatory","71","106"
"Bachelor","91","93"
"Elementary","130","133"
"Preparatory","107","112"
"Preparatory","94","95"
"Preparatory","103","104"
"Preparatory","92","94"
"Elementary","110","111"
"Preparatory","117","118"
"Diploma/associate degree","121","121"
"Preparatory","94","97"
"Secondary","105","108"
"Bachelor","110","112"
"Elementary","90","93"
"Higher education","121","122"
"Secondary","103","106"
"Bachelor","102","102"
"Diploma/associate degree","99","100"
"Bachelor","115","116"
"Elementary","92","92"
"Diploma/associate degree","103","103"
"Secondary","123","124"
"Secondary","94","95"
"Bachelor","115","116"
"Secondary","102","107"
"Secondary","119","120"
"Diploma/associate degree","95","97"
"Secondary","108","111"
"Preparatory","113","114"
"Secondary","112","113"
"Secondary","110","110"
"Higher education","102","104"
"Secondary","97","98"
"Preparatory","102","103"
"Bachelor","98","98"
"Bachelor","123","123"
"Secondary","108","108"
"Secondary","115","116"
"Secondary","129","130"
"Secondary","87","104"
"Preparatory","104","104"
"Secondary","110","110"
"Secondary","115","115"
"Secondary","94","99"
"Illiterate (cannot read and write)","99","99"
"Elementary","120","120"
"Elementary","95","95"
"Secondary","97","97"
"Preparatory","101","102"
"Elementary","94","95"
"Secondary","87","96"
"Secondary","106","107"
"Preparatory","109","110"
"Secondary","96","96"
"Diploma/associate degree","102","102"
"Elementary","95","96"
"Higher education","94","96"
"Bachelor","96","97"
"Preparatory","99","101"
"Diploma/associate degree","113","113"
"Secondary","95","97"
"Secondary","94","97"
"Bachelor","105","105"
"Bachelor","111","111"
"Bachelor","97","98"
"Secondary","123","124"
"Preparatory","113","113"
"Bachelor","102","102"
"Secondary","107","107"
"Diploma/associate degree","95","107"
"Diploma/associate degree","98","99"
"Elementary","92","93"
"Bachelor","99","103"
"Bachelor","117","118"
"Secondary","118","119"
"Diploma/associate degree","115","119"
"Bachelor","120","120"
"Secondary","120","121"
"Preparatory","111","115"
"Secondary","99","100"
"Bachelor","99","100"
"Secondary","94","95"
"Diploma/associate degree","95","95"
"Secondary","95","95"
"Preparatory","103","103"
"Elementary","129","130"
"Secondary","93","94"
"Bachelor","103","104"
"Elementary","83","97"
"Bachelor","98","114"
"Secondary","104","107"
"Secondary","83","95"
"Secondary","108","109"
"Secondary","100","104"
"Diploma/associate degree","93","95"
"Secondary","60","89"
"Secondary","103","105"
"Diploma/associate degree","90","92"
"Secondary","93","98"
"Secondary","97","97"
"Diploma/associate degree","102","102"
"Secondary","98","112"
"Diploma/associate degree","100","103"
"Diploma/associate degree","110","113"
"Secondary","98","102"
"Secondary","98","99"
"Preparatory","98","99"
"Bachelor","101","102"
"Preparatory","108","109"
"Secondary","102","102"
"Secondary","99","100"
"Secondary","103","103"
"Preparatory","93","95"
"Secondary","97","97"
"Higher education","111","115"
"Bachelor","103","103"
"Diploma/associate degree","100","100"
"Diploma/associate degree","100","102"
"Preparatory","96","97"
"Preparatory","96","97"
"Bachelor","100","101"
"Secondary","102","103"
"Secondary","103","103"
"Secondary","90","92"
"Secondary","101","102"
"Secondary","101","102"
"Bachelor","108","109"
"Illiterate (cannot read and write)","102","102"
"Diploma/associate degree","101","102"
"Preparatory","92","94"
"Secondary","93","95"
"Secondary","98","99"
"Preparatory","91","93"
"Bachelor","94","97"
"Preparatory","96","97"
"Diploma/associate degree","112","112"
"Secondary","97","98"
"Secondary","97","98"
"Secondary","101","101"
"Diploma/associate degree","106","106"
"Secondary","112","112"
"Elementary","91","92"
"Diploma/associate degree","118","118"
"Secondary","98","99"
"Secondary","110","110"
"Preparatory","102","102"
"Preparatory","113","113"
"Diploma/associate degree","91","92"
"Illiterate (cannot read and write)","101","101"
"Bachelor","116","117"
"Secondary","103","105"
"Bachelor","94","94"
"Preparatory","102","103"
"Preparatory","93","94"
"Preparatory","98","99"
"Secondary","87","95"
"Secondary","98","98"
"Preparatory","113","113"
"Elementary","103","103"
"Secondary","109","109"
"Secondary","91","92"
"Secondary","91","95"
"Bachelor","99","100"
"Preparatory","104","104"
"Preparatory","86","96"
"Preparatory","107","108"
"Secondary","98","100"
"Secondary","97","98"
"Bachelor","102","104"
"Illiterate (cannot read and write)","94","97"
"Illiterate (cannot read and write)","112","112"
"Elementary","103","103"
"Illiterate (cannot read and write)","97","97"
"Preparatory","98","100"
"Secondary","105","106"
"Secondary","117","119"
"Bachelor","100","100"
"Preparatory","102","104"
"Preparatory","130","133"
"Bachelor","113","113"
"Diploma/associate degree","98","98"
"Preparatory","96","97"
"Preparatory","91","92"
"Preparatory","99","100"
"Secondary","100","100"
"Secondary","99","100"
"Secondary","95","97"
"Preparatory","102","102"
"Preparatory","89","90"
"Secondary","95","96"
"Illiterate (cannot read and write)","97","98"
"Elementary","100","101"
"Preparatory","114","116"
"Elementary","90","91"
"Preparatory","96","97"
"Secondary","101","101"
"Secondary","117","118"
"Preparatory","99","100"
"Secondary","129","130"
"Secondary","104","105"
"Bachelor","96","96"
"Secondary","101","102"
"Secondary","99","100"
"Secondary","95","96"
"Illiterate (cannot read and write)","97","98"
"Bachelor","112","114"
"Secondary","96","97"
"Secondary","79","92"
"Secondary","91","92"
"Secondary","74","89"
"Secondary","114","116"
"Diploma/associate degree","98","113"
"Bachelor","99","100"
"Preparatory","94","94"
"Secondary","87","91"
"Diploma/associate degree","95","97"
"Preparatory","108","108"
"Elementary","110","111"
"Secondary","100","100"
"Preparatory","95","98"
"Preparatory","102","103"
"Bachelor","119","120"
"Bachelor","103","103"
"Preparatory","92","94"
"Bachelor","106","107"
"Preparatory","109","109"
"Preparatory","76","94"
"Bachelor","109","109"
"Secondary","117","117"
"Preparatory","104","104"
"Secondary","113","115"
"Secondary","106","110"
"Preparatory","106","107"
"Bachelor","118","119"
"Preparatory","99","99"
"Bachelor","113","114"
"Secondary","93","96"
"Secondary","93","94"
"Secondary","117","118"
"Diploma/associate degree","97","101"
"Secondary","94","94"
"Illiterate (cannot read and write)","95","96"
"Secondary","94","96"
"Preparatory","101","101"
"Secondary","110","110"
"Diploma/associate degree","100","100"
"Diploma/associate degree","100","100"
"Secondary","105","106"
"Elementary","77","96"
"Preparatory","93","94"
"Secondary","91","93"
"Bachelor","102","102"
"Preparatory","102","102"
"Secondary","95","96"
"Secondary","94","95"
"Diploma/associate degree","99","100"
"Secondary","94","95"
"Secondary","85","92"
"Secondary","104","108"
"Elementary","91","97"
"Preparatory","127","127"